English: A big shift is occurring in cloud computing where European executives have become more aware that data stored in the US is subject to that jurisdiction and therefore potentially vulnerable. = Hindi:	एक बड़ा बदलाव हो रहा है क्लाउड कंप्यूटिंग छेत्र में जहां यूरोपीय अधिकारी ज्यादा जागरूक है कि अमेरिका में संग्रहीत डेटा उस अधिकार क्षेत्र के अधीन है और इसलिए संभावित संवेदनशील बन गए हैं ।	यूरोपीय संघ के कार्यकारी इस बात को समझते हैं कि यूएस में स्टोर किए गए डेटा यूरोपीय संघ के अधिकार क्षेत्र में आते हैं और इसलिए संभावित रूप से संवेदनशील होते हैं.
English: In the New Jersey ashram even now the devotees continue to come as before and pray to Asaram. = Hindi:	न्यूजर्सी स्थित आश्रम में तो अब भी भक्त पहले की ही तरह आश्रम आकर आसाराम के दर्शन कर रहे हैं।	न्यूयॉर्क शहर के आश्रम में भी अब भी भक्त यहाँ आते हैं और आसाराम के चरणों में प्रार्थना करते हैं.
English: There are many sources from which to collect the remaining amount. = Hindi:	शेष राशि के लिए कई स्रोत है।	अधिकांश लोगों को यह पता चलता है कि वे किस तरह से काम करते हैं. इसके अलावा, उनके पास उनकी ज़रूरतों को पूरा करने के लिए कई स्रोत हैं.
English: That is why they will never allow peace to prevail on the border. = Hindi:	इसके लिए वह सीमा पर कभी भी शांति नहीं होने देगा।	इसलिए वे कभी भी सीमा पर शांति नहीं लाने देंगे।
English: The Sheffield group were scheduled to perform at the Hydro venue in the city on Friday. = Hindi:	शुक्रवार को शहर में हाइड्रो स्थल पर प्रदर्शन करने के लिए शेफ्फील्ड समूह का कार्यक्रम निर्धारित था।	श्रेडिंग्टन में मौजूद समूह ने गुरुवार को शहर में हाइड्रो के मंच पर प्रदर्शन किया.
English: The municipal corporation officers have been talking about shifting the dump to the village of Jhuriwala for the past several years now, but the inhabitants of the Barwala area are already facing a serious problem with flies. = Hindi:	नगर निगम के अधिकारी पिछले कई वर्षाें से गाव झूरीवाला में डपिंग ग्राउंड को शिफ्ट करने की बात कर रहे हैं, लेकिन बरवाला क्षेत्र के लोग तो पहले ही मक्खियों की गंभीर समस्या से दो-चार हो रहे है।	म्युनिसिपल कॉरपोरेशन के अधिकारी कई सालों से झुरीवाला गाँव में डस्टबिन को स्थानांतरित करने की बात कर रहे हैं, लेकिन बारवाला के निवासियों को पहले से ही मच्छरों की समस्या का सामना
English: Businesses could also be required to account for the number of 457 visa holders after previously businesses who had intended to sponsor a small number of workers then employed hundreds. = Hindi:	व्यवसायियों को 457 वीजा धारकों की संख्या की गणना रखने की आवश्यकता हो सकता है, क्योंकि पहले व्यवसायी जो कि कम संख्या में कर्मचारियों को प्रायोजित करना चाहते थे, ने सैकड़ों लोगों को काम पर रख लिया।	जबकि पहले कई व्यवसायों ने केवल एक छोटी संख्या में कर्मचारियों को नियुक्त किया था, लेकिन बाद में कई सौ कर्मचारियों को नियुक्त किया था, अब कई व्यवसायों को 457 वीज़ा धारकों की संख्या
English: Rockstar, the consortium that bought the Nortel patents for $4.5 billion, sued Samsung Electronics Co Ltd, HTC Corp, Huawei and four other companies for patent infringement in U.S. District Court in Texas. = Hindi:	रॉकस्टार नामक संघ जिसने 4.5 बिलियन में नॉरेटेल पेटेन्ट्स खरीदे थे, ने टेक्सास में यू.एस. जिला न्यायालय में पेटेन्ट उल्लंघन के लिए सैमसंग इलेक्ट्रॉनिक्स कं. लिमिटेड, एच.टी.सी. कॉरपोरेशन, हुवाई तथा चार अन्य कम्पनियों पर मुकदमा किया है।	रॉकस्टार, जिसने नॉर्टल के पेटेंट को $4.5 बिलियन में खरीदा था, उसने टेक्सास में यूनाइटेड स्टेट्स डिस्ट्रिक्ट कोर्ट में सैमसंग, एचटीसी, हुवावे और चार
English: The free marketeers at the Reason Foundation are also fond of having drivers pay per mile. = Hindi:	रीजन फ़ाउंडेशन में स्वतंत्र विक्रेता भी चालक द्वारा प्रति मील भुगतान के पक्ष में हैं।	रीज़न फ़ाउंडेशन के स्वतंत्र व्यापारी भी ड्राइवरों को प्रति मील किराया चुकाने पर गर्व महसूस करते हैं.
English: Congress candidate Sarhul Ram Bhagat filed his nomination for the Assembly constituency. = Hindi:	वहीं विधानसभा क्षेत्र के लिए कांग्रेस के प्रत्याशी सरहुल राम भगत ने नामांकन भरा।	कॉंग्रेस के उम्मीदवार सरहुल राम भगत ने लोकसभा सीट के लिए अपना नामांकन भरा है.
